,Unnamed: 0,place_name,price_aprox_usd,surface_covered_in_m2,price_usd_per_m2,rooms_compuesta,amenitie_balcon,amenitie_cochera,amenitie_parrilla,amenitie_pileta,amenitie_amoblado,estrenar,lat,lon,distsubte
0,7,Belgrano,138000.0,40.0,3066.666666666666,1.0,0,0,0,1,0,1,-34.5598729,-58.443362,0.010223190036802035
1,8,Belgrano,195000.0,60.0,3000.0,3.0,0,0,0,1,0,1,-34.5598729,-58.443362,0.010223190036802035
2,17,Palermo,350000.0,96.0,3365.384615384615,3.0,1,0,0,0,0,0,-34.580503566,-58.4058744847,0.00944339746240564
3,19,Palermo,270500.0,73.0,2292.372881355933,4.0,0,0,0,0,0,0,-34.590926,-58.4116653,0.002714419802377666
4,47,Caballito,110000.0,50.0,2200.0,3.0,1,0,0,0,0,0,-34.6222111,-58.43912829999999,0.002731476116792456
5,48,Caballito,170500.0,46.0,1705.0,2.0,0,0,0,0,0,0,-34.6238943143,-58.4468606529,0.0018239687459472478
6,49,Caballito,220410.0,75.0,2721.1111111111118,3.0,0,1,0,0,0,0,-34.6209278,-58.44587360000001,0.0038028110779877314
7,50,Caballito,222780.0,75.0,2750.3703703703704,3.0,0,1,0,0,0,0,-34.6209278,-58.44587360000001,0.0038028110779877314
8,54,Caballito,108000.0,67.0,1542.857142857143,3.0,1,0,0,0,0,0,-34.6287865,-58.42778320000001,0.002030996305196328
9,96,Belgrano,178000.0,55.0,3236.3636363636365,2.0,1,1,0,0,0,0,-34.5626966465,-58.4601567114,0.003687997021781839
10,140,Caballito,128000.0,51.0,2509.803921568628,2.0,1,1,0,0,0,0,-34.620725,-58.438704,0.0024942102968471603
11,179,Belgrano,240000.0,54.0,4210.526315789473,1.0,1,1,1,0,0,0,-34.5620844,-58.4566864,0.00029899479791194633
12,183,Belgrano,550000.0,150.0,3437.5,3.0,0,1,0,0,0,0,-34.5621457,-58.449657,0.004759745379188255
13,186,Belgrano,1100000.0,300.0,3548.3870967741937,4.0,1,1,0,1,0,0,-34.565318066,-58.44175186020001,0.005526358910152384
14,187,Belgrano,237895.0,53.0,3447.753623188406,2.0,0,1,0,1,0,0,-34.5652650561,-58.438232802,0.007996879478721236
15,188,Belgrano,237895.0,53.0,3447.753623188406,2.0,0,1,0,1,0,0,-34.5652650561,-58.438232802,0.007996879478721236
16,195,Belgrano,92600.0,33.0,2806.060606060606,1.0,0,1,0,1,0,0,-34.5640079,-58.45670429999999,0.001712384820034078
17,196,Caballito,445000.0,154.0,2816.455696202532,5.0,0,1,1,1,0,0,-34.610434999999995,-58.443029,0.010140647584440695
18,207,Palermo,147300.0,35.0,3776.9230769230767,1.0,1,0,1,0,0,1,-34.5888617,-58.41230720000001,0.0011903313445472555
19,219,Belgrano,340000.0,120.0,2656.25,4.0,1,1,0,0,0,0,-34.5620844,-58.4566864,0.00029899479791194633
20,222,Palermo,440000.0,175.0,2514.285714285714,3.0,1,1,1,0,0,0,-34.5664787494,-58.4340748222,0.00875011288320472
21,319,Caballito,70500.0,30.0,2350.0,3.0,1,1,1,0,0,0,-34.6173252463,-58.4492611885,0.006233971446555301
